 altimeter type 0=dual-frequency  999=single frequency (ie Poseidon-1),merged file cycle #,year+fraction of year (mid-cycle),number of observations,number of weighted observations,GMSL (Global Isostatic Adjustment (GIA) not applied) variation (mm) with respect to 20-year TOPEX/Jason collinear mean reference,standard deviation of GMSL (GIA not applied) variation estimate (mm),smoothed (60-day Gaussian type filter) GMSL (GIA not applied) variation (mm)  with respect to 20-year mean,GMSL (Global Isostatic Adjustment (GIA) applied) variation (mm) )  with respect to 20-year mean,standard deviation of GMSL (GIA applied) variation estimate (mm), 11 smoothed (60-day Gaussian type filter) GMSL (GIA applied) variation (mm) )  with respect to 20-year mean,smoothed (60-day Gaussian type filter) GMSL (GIA applied) variation (mm); annual and semi-annual signal removed )  with respect to 20-year mean
0,11,1993.011526,466462,337277,-37.24,92.66,-37.02,-37.24,92.66,-37.02,-37.55
0,12,1993.038692,460889,334037.31,-40.35,95.39,-38.2,-40.34,95.39,-38.19,-38.06
0,13,1993.065858,472123,342416.09,-40.17,92.29,-38.28,-40.16,92.29,-38.27,-37.6
0,14,1993.093025,421377,306050.59,-41.92,96.2,-38.56,-41.89,96.19,-38.54,-37.45
0,15,1993.120191,459548,331094.09,-36.89,94.64,-37.87,-36.85,94.63,-37.83,-36.44
0,16,1993.147357,416480,300344.81,-35.69,93.22,-36.96,-35.65,93.21,-36.93,-35.31
0,17,1993.174523,467980,337061.91,-36.09,91.67,-36.14,-36.05,91.67,-36.09,-34.28
0,18,1993.201689,466075,335414.41,-34.7,91.95,-35.53,-34.65,91.94,-35.48,-33.5
0,19,1993.228855,461207,331521.09,-34.04,91.7,-35.18,-33.98,91.68,-35.12,-32.94
999,20,1993.256021,467274,340098.59,-37.95,101.31,-35.09,-37.88,101.29,-35.02,-32.6
0,21,1993.283188,461743,331709.69,-36.48,89.84,-35.23,-36.41,89.83,-35.16,-32.45
0,22,1993.310354,469833,338035.69,-33.09,89.52,-35.6,-33,89.5,-35.51,-32.47
0,23,1993.33752,467659,337536.5,-35.11,88.88,-36.12,-35.01,88.86,-36.02,-32.63
0,24,1993.364686,467923,336246.41,-37.76,88.73,-36.52,-37.66,88.71,-36.42,-32.69
0,25,1993.391852,470038,337664.19,-39,89.03,-36.94,-38.9,89.01,-36.84,-32.84
0,26,1993.419018,471715,339521.19,-38.36,88.65,-36.8,-38.25,88.62,-36.69,-32.53
0,27,1993.446185,468842,338293,-35.35,89.34,-36.71,-35.22,89.32,-36.59,-32.43
0,28,1993.473351,468765,339163.81,-35.44,88.12,-36.43,-35.31,88.09,-36.3,-32.32
0,29,1993.500517,448241,326745.5,-36.07,86.35,-36.21,-35.93,86.33,-36.07,-32.5
0,30,1993.527683,461232,336487.41,-37.01,88.23,-35.94,-36.86,88.22,-35.79,-32.85
999,31,1993.554849,258732,192559.3,-29.54,93.85,-35.4,-29.4,93.84,-35.25,-33.15
0,32,1993.582015,456883,334420.59,-36.06,91.11,-34.5,-35.9,91.1,-34.34,-33.24
0,33,1993.609181,424739,310696.41,-35.26,91.93,-33.42,-35.1,91.92,-33.25,-33.28
0,34,1993.636348,453727,333155.81,-30.75,91.55,-32.39,-30.58,91.55,-32.22,-33.43
0,35,1993.663514,451300,331899.69,-29.66,90.96,-31.49,-29.48,90.97,-31.31,-33.68
0,36,1993.69068,453811,333710.59,-31.15,88.24,-30.72,-30.97,88.25,-30.53,-33.96
0,37,1993.717846,411289,303010,-32.31,88.86,-30.03,-32.11,88.87,-29.83,-34.16
0,38,1993.745012,455693,334980.91,-29,88.7,-29.26,-28.8,88.72,-29.06,-34.07
0,39,1993.772178,452872,332724.5,-25.4,89.65,-28.71,-25.19,89.68,-28.5,-33.92
0,40,1993.799345,454647,332591,-27.64,87.34,-28.58,-27.43,87.37,-28.36,-33.91
999,41,1993.826511,465491,345037.59,-28.1,95.53,-28.97,-27.87,95.54,-28.75,-34.16
0,42,1993.853677,463404,337642.41,-29.47,86.95,-29.62,-29.24,86.96,-29.39,-34.41
0,43,1993.880843,462115,335540,-30.73,87.47,-30.05,-30.49,87.47,-29.81,-34.23
0,44,1993.908009,451851,327055.09,-32.46,87.01,-30.1,-32.22,86.99,-29.85,-33.52
0,45,1993.935175,470802,340200.5,-31.16,86.11,-29.89,-30.9,86.1,-29.63,-32.46
0,46,1993.962341,472632,339757.69,-25.82,87.24,-29.68,-25.55,87.22,-29.41,-31.38
0,47,1993.989508,463197,333725.41,-28.26,87.23,-30.15,-27.99,87.21,-29.87,-31.01
0,48,1994.016674,472728,340712.31,-32.38,86.31,-30.3,-32.1,86.27,-30.02,-30.41
0,49,1994.04384,465774,336127.19,-30.01,84.71,-30.77,-29.73,84.67,-30.49,-30.24
0,50,1994.071006,464589,335642,-28.34,84.58,-31.66,-28.04,84.52,-31.37,-30.61
0,51,1994.098172,467056,335617.19,-33.86,84.57,-32.55,-33.56,84.5,-32.26,-31.11
0,52,1994.125338,472846,340447.69,-36.91,84.87,-33.15,-36.61,84.8,-32.84,-31.4
0,53,1994.152505,472074,340130.41,-35.24,86.7,-33.13,-34.93,86.62,-32.82,-31.16
0,54,1994.179671,464132,333918.59,-31.64,87.56,-32.42,-31.32,87.48,-32.1,-30.26
999,55,1994.206837,381474,277875.69,-33.69,92.56,-31.37,-33.36,92.48,-31.04,-29.02
0,56,1994.234003,468378,337040,-26.95,85.4,-30.66,-26.61,85.32,-30.32,-28.1
0,57,1994.261169,467852,336389.19,-30.46,85.5,-30.66,-30.12,85.42,-30.31,-27.84
0,58,1994.288335,467845,336382.41,-30.51,85.65,-31.51,-30.16,85.55,-31.16,-28.39
0,59,1994.315501,467642,335639.91,-31.66,85.03,-32.16,-31.3,84.93,-31.8,-28.69
0,60,1994.342668,472388,340106.81,-33.22,83.72,-33.16,-32.85,83.64,-32.79,-29.33
0,61,1994.369834,468068,336944.81,-34.93,85.08,-33.76,-34.56,85.01,-33.39,-29.6
0,62,1994.397,469177,338117.91,-37.32,86.06,-34.48,-36.94,85.98,-34.1,-30.06
0,63,1994.424166,469229,338527.5,-34.98,83.83,-34.62,-34.59,83.75,-34.23,-30.06
0,64,1994.451332,466690,337582,-32.17,84.37,-34.49,-31.77,84.3,-34.09,-29.95
999,65,1994.478498,473877,349016.31,-39.49,91.32,-34.19,-39.09,91.25,-33.79,-29.87
0,66,1994.505664,445230,324765.41,-36.85,84.3,-33.75,-36.45,84.25,-33.34,-29.87
0,67,1994.532831,461557,336155.5,-32.54,84.96,-33.17,-32.12,84.91,-32.75,-29.95
0,68,1994.559997,454521,334033.5,-32.18,88.49,-32.44,-31.76,88.46,-32.01,-30.09
0,69,1994.587163,454372,333147.59,-32.17,89.94,-31.57,-31.73,89.93,-31.13,-30.24
0,70,1994.614329,456246,335562.91,-31.94,90.72,-30.53,-31.5,90.71,-30.09,-30.34
0,71,1994.641495,454262,334693.59,-29.03,92.13,-29.3,-28.59,92.13,-28.86,-30.3
0,72,1994.668661,450945,333465.5,-27.86,93.08,-28.26,-27.4,93.11,-27.81,-30.39
0,73,1994.695828,445427,328647.19,-25.59,94.78,-27.14,-25.13,94.84,-26.67,-30.29
0,74,1994.722994,450740,332103.19,-26.04,97.25,-26.28,-25.57,97.3,-25.81,-30.29
0,75,1994.75016,445851,328729.69,-26.7,93.62,-25.6,-26.22,93.67,-25.13,-30.24
0,76,1994.777326,444448,325712.81,-24.76,93.36,-25.1,-24.27,93.41,-24.61,-30.08
0,77,1994.804492,457271,334359.41,-22.47,93.52,-24.88,-21.98,93.56,-24.38,-29.93
0,78,1994.831658,457989,335479.91,-24.1,95.26,-25.09,-23.6,95.29,-24.58,-29.94
999,79,1994.858824,405791,301582.59,-18.5,102.42,-25.65,-17.99,102.47,-25.14,-30.06
0,80,1994.885991,458362,332225.69,-27.23,96.85,-26.13,-26.71,96.87,-25.61,-29.9
0,81,1994.913157,466727,337386.91,-29.81,94.12,-26.13,-29.28,94.11,-25.61,-29.12
0,82,1994.940323,472959,340570.31,-25.26,91.65,-25.71,-24.73,91.65,-25.18,-27.85
0,83,1994.967489,470796,339033.19,-23.87,92.75,-25.19,-23.33,92.73,-24.65,-26.46
0,84,1994.994655,469955,338289.5,-23.13,95.08,-25.17,-22.58,95.04,-24.62,-25.61
0,85,1995.021821,469486,338088.81,-23.77,95.87,-25.29,-23.22,95.83,-24.74,-25
0,86,1995.048988,470724,339167.81,-27.13,91.73,-25.56,-26.57,91.66,-25,-24.65
0,87,1995.076154,469783,338816.19,-23.1,94.8,-26.38,-22.53,94.7,-25.81,-24.97
0,88,1995.10332,467616,336552.5,-27.96,91.78,-27.23,-27.38,91.66,-26.66,-25.45
0,89,1995.130486,468762,337824.59,-32.72,91.06,-27.84,-32.14,90.93,-27.26,-25.77
0,90,1995.157652,470008,338227.81,-27.8,90.43,-27.88,-27.2,90.35,-27.28,-25.58
999,91,1995.184818,481959,350339,-27.41,99.05,-27.96,-26.82,98.95,-27.36,-25.49
0,92,1995.211984,465177,333681,-23.62,92.56,-28.01,-23.02,92.43,-27.4,-25.34
0,93,1995.239151,464881,334959,-29.25,89.11,-28.33,-28.64,88.98,-27.72,-25.45
0,94,1995.266317,467737,336837.81,-30.43,88.41,-28.8,-29.8,88.28,-28.17,-25.64
0,95,1995.293483,468643,337223.91,-29.6,88.22,-29.23,-28.97,88.08,-28.6,-25.77
0,96,1995.320649,467167,335574.19,-28.66,86.46,-29.55,-28.02,86.34,-28.91,-25.73
999,97,1995.347815,477242,349096,-36.1,91.96,-29.88,-35.46,91.83,-29.23,-25.7
0,98,1995.374981,468543,336927.5,-31.73,84.2,-30.17,-31.07,84.07,-29.51,-25.67
0,99,1995.402148,466170,334464,-30.06,82.47,-30.37,-29.39,82.35,-29.7,-25.62
0,100,1995.429314,454345,327617.69,-28.53,85.21,-30.58,-27.85,85.13,-29.91,-25.73
0,101,1995.45648,472129,341332.19,-31.34,84.74,-30.88,-30.67,84.66,-30.2,-26.08
0,102,1995.483646,466476,339064.59,-32.59,84.96,-31.2,-31.92,84.86,-30.52,-26.67
999,103,1995.510812,469789,347259.81,-28.89,89.96,-31.13,-28.21,89.89,-30.44,-27.08
0,104,1995.537978,458078,334450.81,-31.69,84.09,-31.18,-30.99,84.03,-30.48,-27.83
0,105,1995.565144,460272,337561.81,-32.06,84.13,-30.55,-31.36,84.07,-29.84,-28.1
0,106,1995.592311,460842,339027.31,-31.47,83.17,-29.49,-30.75,83.11,-28.78,-28.1
0,107,1995.619477,453187,333973.31,-28.18,85.23,-27.76,-27.46,85.23,-27.04,-27.52
0,108,1995.646643,454189,334435.19,-26.91,84.2,-26.24,-26.2,84.22,-25.52,-27.18
0,109,1995.673809,447080,329384.5,-24.04,83.92,-24.53,-23.32,83.96,-23.81,-26.6
0,110,1995.700975,455915,335481.59,-22.74,85.53,-22.74,-22.01,85.6,-22,-25.8
0,111,1995.728141,455694,335246.19,-16.16,85.39,-22.06,-15.42,85.51,-21.32,-25.94
0,112,1995.755307,459681,336938.41,-20.91,86.48,-21.12,-20.15,86.57,-20.37,-25.57
0,113,1995.782474,459274,336469.69,-22.02,87.43,-21.19,-21.26,87.51,-20.43,-25.93
999,114,1995.80964,466886,346767.5,-28.02,92.14,-21.52,-27.26,92.19,-20.75,-26.28
0,115,1995.836806,459039,333903.31,-22.65,83.29,-21.8,-21.88,83.32,-21.02,-26.31
0,116,1995.863972,465533,338443.31,-22.52,83.6,-21.94,-21.73,83.65,-21.15,-25.96
0,117,1995.891138,408023,296507.59,-20.41,84.01,-22.06,-19.61,84.04,-21.26,-25.41
999,118,1995.918304,1266,901.7,-44.64,83.34,-22.4,-43.69,83.1,-21.59,-24.95
0,119,1995.945471,473612,340366.19,-23.92,83.71,-23.44,-23.1,83.7,-22.63,-25.13
0,120,1995.972637,470128,337760.91,-19.17,81.41,-24.49,-18.35,81.4,-23.67,-25.32
0,121,1995.999803,455383,326735.31,-25.15,82.3,-25.63,-24.33,82.2,-24.8,-25.64
0,122,1996.026895,466893,335670,-28.74,83.02,-27.03,-27.92,82.89,-26.2,-26.34
0,123,1996.053987,321326,229938.3,-30.79,83.54,-28.08,-29.95,83.38,-27.24,-26.79
0,124,1996.081079,473196,340614.09,-32.36,84.58,-28.2,-31.51,84.38,-27.35,-26.43
0,125,1996.108171,467283,336243.41,-25.49,85.94,-28.45,-24.63,85.78,-27.6,-26.33
999,126,1996.135263,483282,350497.31,-29.14,90.76,-28.13,-28.29,90.57,-27.27,-25.74
0,127,1996.162355,409743,294235.41,-26.41,84.99,-27.96,-25.55,84.8,-27.09,-25.36
0,128,1996.189447,472347,339762.19,-29.4,86.1,-28.05,-28.52,85.9,-27.17,-25.27
0,129,1996.216539,464810,333497.91,-27.31,85.97,-28.31,-26.42,85.75,-27.42,-25.33
0,130,1996.243631,473779,340875.81,-27.83,87.63,-28.59,-26.94,87.38,-27.7,-25.39
0,131,1996.270723,471250,337816.81,-29.89,86.3,-28.64,-28.98,86.06,-27.73,-25.16
0,132,1996.297815,469153,336589.19,-31.31,83.67,-28.61,-30.4,83.41,-27.7,-24.81
0,133,1996.324907,473309,339905.81,-27.67,83.15,-28.49,-26.75,82.95,-27.57,-24.34
0,134,1996.351998,471854,339101.31,-26.77,85.37,-28.14,-25.84,85.18,-27.22,-23.64
0,135,1996.37909,471337,338315.59,-28.4,84.16,-27.86,-27.47,83.99,-26.93,-23.05
0,136,1996.406182,470523,338394.59,-26.8,83.91,-27.66,-25.86,83.77,-26.72,-22.62
0,137,1996.433274,471148,338838.5,-28.17,83.2,-27.48,-27.22,83.03,-26.54,-22.36
999,138,1996.460366,473321,348043.31,-32.69,88.73,-27.18,-31.74,88.53,-26.22,-22.13
0,139,1996.487458,464417,336535.5,-27.23,83.58,-26.64,-26.27,83.45,-25.68,-21.89
0,140,1996.51455,462984,336130.41,-27.71,82.09,-25.93,-26.74,82.03,-24.96,-21.69
0,141,1996.541642,460619,336686.09,-25.69,84.1,-25.17,-24.71,84.08,-24.2,-21.67
0,142,1996.568734,461392,338312.41,-21.53,85.22,-24.52,-20.56,85.25,-23.54,-21.93
0,143,1996.595826,457974,335659.69,-23.69,83.27,-24.11,-22.71,83.27,-23.13,-22.6
0,144,1996.622918,445848,328140,-24.54,83.64,-23.63,-23.55,83.68,-22.64,-23.27
0,145,1996.65001,451138,332464.31,-23.89,85.31,-23.25,-22.9,85.38,-22.25,-24.05
0,146,1996.677102,453786,335173.19,-25.33,86.06,-22.42,-24.33,86.13,-21.42,-24.34
0,147,1996.704194,439068,324763.09,-21.45,86.23,-21.22,-20.45,86.33,-20.21,-24.12
0,148,1996.731285,435372,321751.81,-17.14,88.82,-19.77,-16.11,88.97,-18.75,-23.45
0,149,1996.758377,457202,336786.31,-17.77,85.51,-18.23,-16.75,85.67,-17.21,-22.46
999,150,1996.785469,437490,327006.5,-24.52,89.99,-16.92,-23.51,90.07,-15.88,-21.4
0,151,1996.812561,460329,338423,-15.24,86.1,-16.28,-14.19,86.26,-15.24,-20.76
0,152,1996.839653,464437,340240.5,-12.31,86.48,-16.56,-11.26,86.67,-15.51,-20.76
0,153,1996.866745,457847,335588.91,-15.44,88.87,-17.61,-14.38,89,-16.54,-21.29
0,154,1996.893837,464923,339473.81,-21.77,86.42,-19.11,-20.7,86.47,-18.04,-22.12
0,155,1996.920929,467704,338770,-20.97,85.19,-20.79,-19.89,85.19,-19.72,-23
0,156,1996.948021,471975,340268.31,-20.44,84.35,-22.29,-19.36,84.32,-21.2,-23.62
0,157,1996.975113,463123,333004.81,-25.67,87.96,-23.84,-24.58,87.86,-22.75,-24.32
0,158,1997.002211,474412,341207.59,-27.14,88.11,-25,-26.04,88,-23.9,-24.68
0,159,1997.029377,475277,341199.31,-25.13,87.95,-25.83,-24.01,87.89,-24.73,-24.81
0,160,1997.056543,474346,342074.69,-27.97,88.82,-26.39,-26.86,88.71,-25.28,-24.78
0,161,1997.083709,475001,342603.91,-25.94,87.91,-26.81,-24.82,87.76,-25.69,-24.73
999,162,1997.110875,484098,350740.91,-31.97,92.82,-27.13,-30.86,92.6,-26,-24.7
0,163,1997.138042,471366,341192.81,-28.13,88.36,-27.29,-27.01,88.13,-26.16,-24.61
0,164,1997.165208,469682,338970.91,-27.75,89.28,-27.2,-26.61,89.08,-26.05,-24.3
0,165,1997.192374,467136,336166.5,-28.34,92.24,-26.89,-27.19,92.04,-25.74,-23.82
0,166,1997.21954,467792,335735.91,-25.72,89.17,-26.53,-24.55,88.91,-25.37,-23.26
0,167,1997.246706,469143,337732.31,-24.82,89.03,-26.42,-23.65,88.77,-25.24,-22.91
0,168,1997.273872,467305,334837,-24.11,88.51,-26.34,-22.93,88.26,-25.16,-22.55
0,169,1997.301038,468590,335933.81,-29.2,87.03,-26.36,-28,86.76,-25.17,-22.24
0,170,1997.328205,470769,337743.81,-27.84,86.77,-26.33,-26.64,86.58,-25.13,-21.86
0,171,1997.355371,469013,336212.41,-24.33,86.21,-26.12,-23.13,86.12,-24.91,-21.29
0,172,1997.382537,469776,338017.19,-27.46,88.63,-25.8,-26.25,88.51,-24.59,-20.67
0,173,1997.409703,468955,337476.41,-22.66,91.25,-25.54,-21.44,91.15,-24.33,-20.21
999,174,1997.436869,228003,166580.8,-28.33,98.73,-25.3,-27.14,98.58,-24.08,-19.9
0,175,1997.464035,468898,338761.41,-27.37,91.33,-24.95,-26.15,91.22,-23.73,-19.67
0,176,1997.491202,460526,333472,-25.31,94.16,-24.3,-24.09,94.1,-23.07,-19.34
0,177,1997.518368,463575,338518.59,-25.32,94.45,-23.34,-24.09,94.44,-22.11,-18.93
0,178,1997.545534,462728,338878.31,-19.28,96.38,-22.13,-18.05,96.44,-20.89,-18.48
0,179,1997.5727,459505,336969.59,-20.69,97.47,-20.59,-19.45,97.58,-19.35,-17.89
999,180,1997.599866,446297,332561.91,-24.15,104.39,-19.02,-22.9,104.43,-17.77,-17.41
0,181,1997.627032,455303,335732.81,-18.52,101.99,-17.4,-17.26,102.13,-16.14,-16.95
0,182,1997.654198,447182,330122.81,-16.09,105.46,-15.92,-14.82,105.66,-14.66,-16.64
0,183,1997.681365,444509,327992,-14.81,106.76,-14.64,-13.55,107.01,-13.37,-16.46
0,184,1997.708531,450536,332593.41,-12.64,109.89,-13.5,-11.37,110.13,-12.23,-16.28
0,185,1997.735697,444677,328334.81,-10.66,109.86,-12.54,-9.38,110.13,-11.25,-16.05
999,186,1997.762863,418373,310487.69,-6.63,116.26,-12.24,-5.33,116.53,-10.94,-16.25
0,187,1997.790029,453694,332080.09,-10.06,114.44,-11.8,-8.74,114.71,-10.49,-16.03
0,188,1997.817195,457924,334013.81,-12.69,113.85,-12.18,-11.37,114.1,-10.86,-16.35
0,189,1997.844362,458210,333340.09,-10.37,116.08,-12.97,-9.04,116.29,-11.64,-16.82
0,190,1997.871528,458611,333314,-14.1,118.64,-14.29,-12.77,118.77,-12.96,-17.61
0,191,1997.898694,452667,328760.81,-16.19,115.98,-15.43,-14.87,116.08,-14.1,-18.04
0,192,1997.92586,461738,334164.5,-14.31,118.95,-16.92,-12.96,119.02,-15.58,-18.7
0,193,1997.953026,457571,328879.5,-21.08,118.1,-18.43,-19.73,118.1,-17.08,-19.34
0,194,1997.980192,470445,338200.09,-19.61,114.11,-19.69,-18.24,114.1,-18.34,-19.76
0,195,1998.007358,466101,336653.81,-24.13,112.49,-20.61,-22.78,112.44,-19.25,-19.89
0,196,1998.034525,457485,328933.5,-19.97,107.01,-21.2,-18.6,107.01,-19.83,-19.79
999,197,1998.061691,413150,300687.5,-23.94,111.16,-21.58,-22.58,111.07,-20.2,-19.6
0,198,1998.088857,464701,333877.69,-21.89,109.19,-21.86,-20.5,109.08,-20.47,-19.44
0,199,1998.116023,463716,333776.91,-21.57,105.7,-22.07,-20.16,105.59,-20.66,-19.31
0,200,1998.143189,466318,336008.91,-22.96,103.76,-22.14,-21.55,103.61,-20.72,-19.13
0,201,1998.170355,465792,336080.69,-23.73,103.73,-22.07,-22.29,103.6,-20.65,-18.87
0,202,1998.197521,464623,334891.09,-20.53,100.63,-21.93,-19.09,100.51,-20.5,-18.54
0,203,1998.224688,463677,334216.5,-21.24,101.86,-21.89,-19.8,101.66,-20.45,-18.3
0,204,1998.251854,458795,329424.59,-22.3,98.92,-21.82,-20.84,98.76,-20.37,-17.99
0,205,1998.27902,459359,330464.91,-20.48,99.31,-22.09,-19.03,99.14,-20.63,-17.97
0,206,1998.306186,462158,332311.19,-22,98.78,-22.65,-20.53,98.61,-21.19,-18.2
0,207,1998.333352,461649,331589.69,-23.38,99.1,-23.5,-21.92,98.93,-22.04,-18.7
0,208,1998.360518,464744,334999.59,-25.77,97.55,-24.63,-24.31,97.44,-23.16,-19.48
999,209,1998.387685,424190,310355.41,-22.66,102.13,-25.7,-21.19,102.01,-24.23,-20.27
0,210,1998.414851,438066,315469.5,-27.16,99.48,-26.84,-25.69,99.31,-25.36,-21.22
0,211,1998.442017,456892,330460.31,-28.22,99.93,-27.36,-26.72,99.75,-25.87,-21.69
0,212,1998.469183,467685,339315.69,-29.33,98.02,-27.48,-27.83,97.94,-25.98,-21.96
0,213,1998.496349,464414,337662.91,-26.03,95.62,-27.4,-24.53,95.57,-25.89,-22.24
0,214,1998.523515,466392,339490.31,-26.21,92.47,-27.25,-24.7,92.48,-25.75,-22.7
0,215,1998.550681,460129,336226.41,-28.23,94.09,-26.98,-26.72,94.14,-25.47,-23.23
999,216,1998.577848,379990,282197.41,-25.55,99.46,-26.75,-24.09,99.53,-25.24,-23.98
0,217,1998.605014,453206,333282.69,-26.84,92.35,-25.99,-25.32,92.38,-24.46,-24.31
0,218,1998.63218,453641,334160.09,-27.56,92.21,-25.36,-26.04,92.29,-23.83,-24.86
0,219,1998.659346,448139,330380,-24.01,92.96,-24.42,-22.45,93.12,-22.88,-25.08
0,220,1998.686512,446074,330577.69,-22.63,91.54,-23.49,-21.09,91.73,-21.95,-25.23
0,221,1998.713678,454740,336286.31,-21.8,90.78,-22.65,-20.26,90.99,-21.11,-25.32
0,222,1998.740845,450646,333359.59,-22.29,89.54,-22.08,-20.74,89.68,-20.52,-25.44
0,223,1998.768011,450677,332834.5,-20.5,92.64,-21.37,-18.93,92.83,-19.81,-25.19
999,224,1998.795177,457108,341048.41,-21.29,98.2,-21,-19.71,98.39,-19.42,-24.97
0,225,1998.822343,455713,334996,-19.48,90.89,-20.96,-17.9,91.12,-19.38,-24.83
0,226,1998.849509,458490,335977.69,-20.52,88.71,-21.27,-18.92,88.85,-19.67,-24.76
0,227,1998.876675,448471,327579.19,-21.3,89.36,-21.88,-19.7,89.39,-20.27,-24.79
0,228,1998.903841,449925,327350.91,-24.54,88.41,-22.37,-22.93,88.34,-20.76,-24.55
0,229,1998.931008,463583,336329.81,-20.44,87.66,-23,-18.81,87.61,-21.38,-24.34
0,230,1998.958174,434736,313959.31,-24.83,86.52,-23.56,-23.2,86.46,-21.94,-24.04
0,231,1998.98534,438045,316064.81,-24.09,86,-24.18,-22.47,85.92,-22.55,-23.81
0,232,1999.012506,446378,321991.19,-26.13,85.77,-24.64,-24.5,85.62,-23,-23.5
0,233,1999.039672,468323,337577.09,-24.22,84.67,-24.86,-22.56,84.44,-23.21,-23.05
999,234,1999.066838,476210,345873.91,-26.08,92.39,-24.66,-24.43,92.12,-22.99,-22.3
0,235,1999.094005,466059,335641.31,-30.01,89.59,-24.01,-28.34,89.32,-22.33,-21.23
0,236,1999.121171,337310,243212.5,-18.87,88.94,-23.24,-17.14,88.72,-21.55,-20.15
0,237,1999.148337,467199,336772.41,-22.32,87.01,-22.54,-20.64,86.74,-20.84,-19.21
0,238,1999.175503,467037,336107,-21.1,87.23,-22.18,-19.39,86.92,-20.47,-18.66
0,239,1999.202669,467846,336502.69,-22.75,89.17,-22.09,-21.03,88.85,-20.37,-18.38
0,240,1999.229835,466314,336603.81,-21.29,92.08,-22.23,-19.57,91.68,-20.51,-18.32
0,241,1999.257001,469932,337694.31,-23.31,92.09,-22.34,-21.58,91.68,-20.61,-18.18
0,242,1999.284168,470102,337966.5,-21.7,92.06,-22.61,-19.95,91.77,-20.88,-18.16
999,243,1999.311334,448144,325850.31,-25.54,98.91,-23.03,-23.79,98.64,-21.28,-18.22
0,244,1999.3385,466653,335861.69,-24.17,89.64,-23.53,-22.42,89.35,-21.78,-18.37
0,245,1999.365666,467501,337271.59,-22.26,87.42,-24.07,-20.5,87.18,-22.32,-18.58
0,246,1999.392832,468089,339160.69,-25.03,87.06,-24.59,-23.28,86.8,-22.83,-18.82
0,247,1999.419998,466582,337945.19,-24.97,85.95,-24.98,-23.2,85.75,-23.21,-19.05
0,248,1999.447164,466865,338182.5,-27.77,86.09,-25.11,-26.01,85.89,-23.34,-19.18
0,249,1999.474331,467584,339901.31,-25.2,82.66,-24.75,-23.43,82.46,-22.98,-19.02
